flat,street,postcode
22,MONT LE GRAND,EX1 2PA
14,CATHEDRAL CLOSE,EX1 1EZ
65,STOKE VALLEY ROAD,EX4 5HG
10,LEBANON CLOSE,EX4 5EW
181,TOPSHAM ROAD,EX2 4SQ
35,SAXON ROAD,EX1 2TD
145,MERRIVALE ROAD,EX4 1PW
9,ANTHONY ROAD,EX1 2SS
,SIDWELL STREET,EX4 6PA
8,CULVERLAND ROAD,EX4 6JJ
14,CHUTE STREET,EX1 2BZ
42,KINGSWAY,EX2 5EN
108,MERRIVALE ROAD,EX4 1PW
17,COLERIDGE ROAD,EX2 9BZ
23,POLSLOE ROAD,EX1 2HL
35,SPRINGFIELD ROAD,EX4 6JL
42,KNOWLE DRIVE,EX4 2DG
39,MARSH GREEN ROAD WEST,EX2 8PN
33,EXCALIBUR CLOSE,EX4 8LH
52,WHITCHURCH AVENUE,EX2 5NT
81,POLSLOE ROAD,EX1 2NF
,ST. DAVIDS HILL,EX4 3RA
,BOVEMOORS LANE,EX2 5TS
,COWLEY BRIDGE ROAD,EX4 5FJ
,NEW NORTH ROAD,EX4 4GG
,HEAVITREE ROAD,EX1 2JW
,MOUNT DINHAM COURT,EX4 4FX
,NEW NORTH ROAD,EX4 4GH
,NEW NORTH ROAD,EX4 4GD
,THORNTON HILL,EX4 4GR
,DEAN CLARKE GARDENS,EX2 4AA
,STONE LANE RETAIL PARK,EX2 8LH
203,TOPSHAM ROAD,EX2 6AN
,COWLEY BRIDGE ROAD,EX4 5FJ
2,MOWBRAY AVENUE,EX4 4HB
10,BRIDESPRING ROAD,EX4 7EU
55,REGENT SQUARE,EX1 2RL
10,BUCKERELL AVENUE,EX2 4RA
17,CHESTER CLOSE,EX4 2EJ
74,ARGYLL ROAD,EX4 4RY
21,MAPLE ROAD,EX4 1BN
,FARM HILL,EX4 2LR
46,ST. DAVIDS HILL,EX4 4DT
35,WOODVILLE ROAD,EX2 8JW
,RADNOR PLACE,EX2 4EH
,HAVEN ROAD,EX2 8GP
,MARKET STREET,EX1 1DL
,BONHAY ROAD,EX4 3BZ
58,FORE STREET,EX1 2RR
9,LANSDOWNE TERRACE,EX2 4JJ
,KENNFORD ROAD,EX2 8LY
,ACLAND ROAD,EX4 6PB
19,HOKER ROAD,EX2 5HR
12,HORSEGUARDS,EX4 4UY
,BUTTS ROAD,EX2 5PW
2,HIGHER SUMMERLANDS,EX1 2LW
,FAIRPARK ROAD,EX2 4HL
,FORE STREET,EX4 3JQ
,GROSVENOR PLACE,EX1 2JP
270,PINHOE ROAD,EX4 7JQ
,BONHAY ROAD,EX4 3BZ
,,EX2 6XS
,NEW NORTH ROAD,EX4 4FS
,COWICK STREET,EX4 1FL
,NEW NORTH ROAD,EX4 4GG
,,EX2 7DQ
26,WOODVILLE ROAD,EX2 8JW
,COWICK STREET,EX4 1FL
4,CHIEFTAIN WAY,EX2 9DR
,NEW NORTH ROAD,EX4 4GP
,,EX4 3ZX
,TOPSHAM ROAD,EX2 6EX
,BLACKBOY ROAD,EX4 6TW
,BROOK GREEN TERRACE,EX4 6QJ
10,KING STREET,EX1 1BQ
,BURNTHOUSE LANE,EX2 6BG
,EXWICK ROAD,EX4 2AS
26,KING WILLIAM STREET,EX4 6PD
90,POLSLOE ROAD,EX1 2HW
96,OLD TIVERTON ROAD,EX4 6LD
,MEDLEY COURT,EX4 2QG
106,LADYSMITH ROAD,EX1 2PP
17,EAST WONFORD HILL,EX1 3BS
32,MAGDALEN ROAD,EX2 4TD
114,BARTHOLOMEW STREET WEST,EX4 3AL
38,MANDRAKE ROAD,EX2 8SQ
15,FRANKLYN CLOSE,EX2 9LX
12,WYNFORD ROAD,EX4 7ES
14,MILL ROAD,EX2 6LH
6,BROOM CLOSE,EX2 5JF
69,LADYSMITH ROAD,EX1 2PS
1,FOX ROAD,EX4 8NB
15,SAXON ROAD,EX1 2TD
19,REGENT SQUARE,EX1 2RL
32,ABBEVILLE CLOSE,EX2 4SJ
59,LANCELOT ROAD,EX4 9BU
9,LANSDOWNE TERRACE,EX2 4JJ
66,ISLEWORTH ROAD,EX4 1QY
11,LAMACRAFT DRIVE,EX4 8QS
4,EAST GROVE ROAD,EX2 4LX
13,MEADOW WAY,EX2 5BJ
137,LADYSMITH ROAD,EX1 2PP
24,TOLLARDS ROAD,EX2 6JJ
88,COWICK STREET,EX4 1HL
,BEACON LANE,EX4 8LU
2,BROOKE AVENUE,EX2 6DA
73,PARK ROAD,EX1 2HT
22,FRIARS WALK,EX2 4AY
126,PENNSYLVANIA ROAD,EX4 6DH
16,CORDERY ROAD,EX2 9DH
1,HOLNE RISE,EX2 5NL
30,EAST WONFORD HILL,EX1 3BZ
24,HAZEL ROAD,EX2 6HN
16,CHELMSFORD ROAD,EX4 2LN
,BROADWAY,EX2 9LY
9,CLINTON AVENUE,EX4 7BA
100,LANCELOT ROAD,EX4 9BY
116,BOWHAY LANE,EX4 1PG
5,ILEX CLOSE,EX4 9JZ
35,DUNSFORD GARDENS,EX4 1LN
4,IDDESLEIGH ROAD,EX4 6LY
3,STEPCOTE HILL,EX1 1BD
67,MYRTLE ROAD,EX4 1QA
48,NADDER PARK ROAD,EX4 1NU
4,KIPLING DRIVE,EX2 5BU
35,GUYS ROAD,EX4 2AN
57,MERRIVALE ROAD,EX4 1PU
33,ELAINE CLOSE,EX4 9BP
85,BROADWAY,EX2 9LZ
20,NEWMAN ROAD,EX4 1PN
30,HERBERT ROAD,EX1 2UH
22,OAKFIELD STREET,EX1 2QT
10,ALEXANDRA TERRACE,EX4 6SY
12,HAMLIN LANE,EX1 2SB
186,EXWICK ROAD,EX4 2BA
110,PENNSYLVANIA ROAD,EX4 6DH
35,WYNDHAM AVENUE,EX1 2PQ
5,SCHOOL LANE,EX2 6LB
20,HONITON ROAD,EX1 3ED
18,BURRATOR DRIVE,EX4 2EN
8,CHURCH ROAD,EX2 9AX
28,POWDERHAM CRESCENT,EX4 6BZ
22,HIGHER BARLEY MOUNT,EX4 1SB
8,CHURCH ROAD,EX2 9AX
5,REDLANDS CLOSE,EX4 8BE
5,PREMIER PLACE,EX2 4LB
42,COLLINS ROAD,EX4 5DE
42,KING EDWARD STREET,EX4 4NY
9,GORDON ROAD,EX1 2DH
2,PETERBOROUGH ROAD,EX4 2EG
19,HEAVITREE PARK,EX1 3BP
39,KNOWLE DRIVE,EX4 2DF
63,ROBERTS ROAD,EX2 4HD
63,NEWHAYES CLOSE,EX2 9JL
19,BARRACK ROAD,EX2 5ED
178,FARM HILL,EX4 2NB
11,LONSDALE ROAD,EX1 3DW
23,MELBOURNE STREET,EX2 4AU
53,GUYS ROAD,EX4 2AN
2,LIMEGROVE ROAD,EX4 1EU
32,DUCKWORTH ROAD,EX2 9BP
104,RIFFORD ROAD,EX2 5LN
6,FIRST AVENUE,EX1 2PH
9,DUCKWORTH ROAD,EX2 9BP
102,FARM HILL,EX4 2LJ
,MERLIN CRESCENT,EX4 9AF
29,CORONATION ROAD,EX2 5BZ
60,BURNTHOUSE LANE,EX2 6AY
,ALLHALLOWS COURT,EX4 3BJ
5,NORTH STREET,EX1 2RE
7,CATHEDRAL CLOSE,EX1 1EZ
35,BEVERLEY CLOSE,EX2 5NN
222,CHESTNUT AVENUE,EX2 6DP
14,PRINCESSHAY SQUARE,EX1 1LR
41,CHELMSFORD ROAD,EX4 2LN
19,KING STREET,EX1 1DG
8,TADDIFORDE ROAD,EX4 4AY
10,TUCKFIELD CLOSE,EX2 5LR
19,ST. ANNES ROAD,EX1 2QD
60,EXE VALE ROAD,EX2 6LF
,CLYDESDALE ROAD,EX4 4QX
14,PRINCESSHAY SQUARE,EX1 1LR
32,PLASSEY CLOSE,EX4 5HE
59,PRESTON STREET,EX1 1DJ
24,WILFORD ROAD,EX2 5LD
38,WILLEYS AVENUE,EX2 8ES
45,STUART ROAD,EX1 2SZ
23,BOWHAY LANE,EX4 1NZ
,HENNOCK ROAD CENTRAL,EX2 8NP
138,HAMLIN GARDENS,EX1 3AA
,MARKET STREET,EX1 1DL
42,KINNERTON WAY,EX4 2PR
,PENNSYLVANIA ROAD,EX4 6BH
16,KING STREET,EX1 1DG
37,BODLEY CLOSE,EX1 3LG
10,SOUTH AVENUE,EX1 2DZ
18,LONGBROOK TERRACE,EX4 4EU
26,HOKER ROAD,EX2 5HR
18,WHIPTON VILLAGE ROAD,EX4 8AW
,GRENDON ROAD,EX1 2NL
53,EXWICK ROAD,EX4 2BX
9,TUCKFIELD CLOSE,EX2 5LR
,HAVEN ROAD,EX2 8GP
,EXE STREET,EX4 3HF
43,WILLEYS AVENUE,EX2 8EP
12,WEST GARTH ROAD,EX4 5AG
5,ROSEBANK CRESCENT,EX4 6EJ
2,MILE GARDENS,EX4 9AW
45,KINNERTON WAY,EX4 2BL
38,LOWER KINGS AVENUE,EX4 6JT
8,SOUTHERNHAY WEST,EX1 1JG
51,DORSET AVENUE,EX4 1ND
9,WILFORD ROAD,EX2 5LD
54,COLLINS ROAD,EX4 5DE
21,PRINCES STREET NORTH,EX2 9AL
,FORE STREET,EX1 2QQ
,COMMERCIAL ROAD,EX2 4EB
12,LOOE ROAD,EX4 4BW
17,TRISTAN CLOSE,EX4 9BT
38,COWICK STREET,EX4 1AW
,GRACE ROAD CENTRAL,EX2 8QA
42,WARDREW ROAD,EX4 1HA
,SIDWELL STREET,EX4 6NN
23,ROSEBERY ROAD,EX4 6LT
,WATER LANE,EX2 8EU
,MAGDALEN STREET,EX2 4HY
25,UNION ROAD,EX4 6HX
3,ROMAN WALK,EX1 1GP
,ST. DAVIDS HILL,EX4 4DP
61,HAVEN ROAD,EX2 8DP
9,LISTER CLOSE,EX2 4SD
44,UNION ROAD,EX4 6HU
,WHIPTON VILLAGE ROAD,EX4 8AL
,COWICK STREET,EX4 1AP
2,LANSDOWNE TERRACE,EX2 4JJ
11,CODRINGTON STREET,EX1 2BU
13,WILFORD ROAD,EX2 5LD
66,WONFORD ROAD,EX2 4LQ
,WONFORD STREET,EX2 5DR
64,CLIFTON ROAD,EX1 2BP
27,VICTORIA PARK ROAD,EX2 4NT
17,WHEATSHEAF WAY,EX2 8RQ
144,COWICK STREET,EX4 1AS
1,WAVERLEY AVENUE,EX4 4NL
,ACLAND ROAD,EX4 6PN
32,POLSLOE ROAD,EX1 2HW
,GRAS LAWN,EX2 4SS
3,FOWEY CLOSE,EX1 2PY
7,HOOPERN AVENUE,EX4 6DN
100,WATERSIDE,EX2 8GZ
6,REGENTS PARK,EX1 2NU
48,BOVEMOORS LANE,EX2 5BP
13,WILTSHIRE CLOSE,EX4 1LU
81,HOKER ROAD,EX2 5JA
51,NORTH STREET,EX4 3QR
26,MINCINGLAKE ROAD,EX4 7EA
58,OLD BAKERY CLOSE,EX4 2UZ
44,CHAMBERLAIN ROAD,EX2 8EW
4,STOKE HILL,EX4 7DA
,SOUTHGATE,EX2 4DA
,HAVEN ROAD,EX2 8GP
,GENEVA CLOSE,EX2 4NH
14,MARSH BARTON ROAD,EX2 8NT
58,PRESTON STREET,EX1 1DJ
299,TOPSHAM ROAD,EX2 6EX
8,LAVENDER ROAD,EX4 2PT
29,MARYPOLE WALK,EX4 7HB
,MILL YARD,EX2 6LL
13,BRIAR CRESCENT,EX2 6DX
,COMMERCIAL ROAD,EX2 4EB
,BLACKBOY ROAD,EX4 6SX
48,WONFORD ROAD,EX2 4LD
1,WILFORD ROAD,EX2 5LD
1,PENNSYLVANIA PARK,EX4 6HB
,WAYSIDE CRESCENT,EX1 3LF
6,MAGDALEN STREET,EX2 4HX
78,WELLINGTON ROAD,EX2 9DX
89,CHANCELLORS WAY,EX4 9DX
82,BRIAR CRESCENT,EX2 6DU
,PENNSYLVANIA ROAD,EX4 6EA
,ALPHINGTON ROAD,EX2 8NA
9,SALMON POOL LANE,EX2 4SN
130,BRIAR CRESCENT,EX2 6DR
,RADNOR PLACE,EX2 4EH
,IVY CLOSE,EX2 5LX
15,EDGERTON PARK ROAD,EX4 6DD
3,SYLVANIA DRIVE,EX4 5DT
29,EAST WONFORD HILL,EX1 3BZ
27,IDDESLEIGH ROAD,EX4 6LY
2,QUEENSLAND DRIVE,EX4 5AZ
24,ARCHIBALD ROAD,EX1 1SA
,ROSEBARN LANE,EX4 5ES
5,ELLARDS CLOSE,EX2 6AH
6,MICHIGAN WAY,EX4 5EU
61,REDHILLS,EX4 1SH
,OKEHAMPTON STREET,EX4 1DR
,THE QUAY,EX2 4AP
57,JOHN LEVERS WAY,EX4 1DZ
4,PINWOOD MEADOW DRIVE,EX4 9JP
144,BEACON LANE,EX4 8LX
12,PELLINORE ROAD,EX4 9BJ
60,BOVEMOORS LANE,EX2 5BP
12,HEATHER CLOSE,EX1 3LE
9,COURTENAY ROAD,EX2 8JT
19,SWEETBRIER LANE,EX1 3AE
15,TINTAGEL CLOSE,EX4 9EH
4,ROSEMARY STREET,EX4 1QX
20,RIVERVIEW DRIVE,EX4 2AE
1,FLOWERPOT LANE,EX4 1DH
8,DEAN STREET,EX2 4HH
25,THORNTON HILL,EX4 4NN
36,WYKES ROAD,EX1 2UG
,HOKER ROAD,EX2 5JA
97,FARM HILL,EX4 2LJ
6,CURIE MEWS,EX2 4TB
,HOOPERN STREET,EX4 4AW
33,LOWER KINGS AVENUE,EX4 6JT
27,THORNTON HILL,EX4 4NN
38,BAKER STREET,EX2 5EA
117,OKEHAMPTON ROAD,EX4 1ER
4,HOWELL ROAD,EX4 4LF
,MELBOURNE PLACE,EX2 4AX
25,WIDECOMBE WAY,EX4 5BZ
5,CAMELOT CLOSE,EX4 9DB
37,POWLESLAND ROAD,EX2 8RS
,OXFORD ROAD,EX4 6QS
29,FORDS ROAD,EX2 8ER
4,HILL CLOSE,EX4 6HJ
16,LABURNUM ROAD,EX2 6EG
84,BONHAY ROAD,EX4 4BL
10,THIRD AVENUE,EX1 2PJ
18,UNION ROAD,EX4 6HZ
125,FORE STREET,EX4 3JQ
10,WELLPARK CLOSE,EX4 1TS
89,KINNERTON WAY,EX4 2BL
,COMMERCIAL ROAD,EX2 4DZ
30,UPLANDS DRIVE,EX4 7JZ
92,VAUGHAN ROAD,EX1 3LB
,,EX2 5DT
,DEAN STREET,EX2 4HH
,NEW NORTH ROAD,EX4 4GG
67,PRIORY ROAD,EX4 7AP
85,BEACON AVENUE,EX4 7JF
23,BROOKWAY,EX1 3JJ
,BARTHOLOMEW STREET WEST,EX4 3AD
39,ELAINE CLOSE,EX4 9BP
36,CHELTENHAM CLOSE,EX4 2EL
1,ELMBRIDGE GARDENS,EX4 4AE
,BARTHOLOMEW STREET WEST,EX4 3AE
15,MINCINGLAKE ROAD,EX4 7EA
36,HERBERT ROAD,EX1 2UQ
46,ARENA PARK,EX4 8RB
127,FARM HILL,EX4 2LJ
11,SOUTHPORT AVENUE,EX4 1RA
2,DUNRICH CLOSE,EX2 4TQ
,RADNOR PLACE,EX2 4EY
2,ATTWYLL AVENUE,EX2 5HN
18,KINNERTON WAY,EX4 2NA
30,KING STEPHEN CLOSE,EX4 4LX
13,MONT LE GRAND,EX1 2PD
,,EX1 9EE
,BOVEMOORS LANE,EX2 5TS
14,NORTHBROOK CLOSE,EX4 8LD
5,ST. JAMES TERRACE,EX4 6QH
,BOVEMOORS LANE,EX2 5DS
,TREWS WEIR REACH,EX2 4EG
,QUEEN STREET,EX4 3SJ
,WEIRFIELD ROAD,EX2 4DW
12,HIGH CROFT,EX4 4JQ
,NEW NORTH ROAD,EX4 4HG
32,WONFORD STREET,EX2 5DL
19,CHANDLERS WALK,EX2 8BA
,EXWICK ROAD,EX4 2AS
,WESTERN ROAD,EX4 1DT
,NORTH STREET,EX1 2RP
10,HIGH CROFT,EX4 4JQ
9,FLEMING WAY,EX2 4SE
,BLACKBOY ROAD,EX4 6TB
25,WELLINGTON ROAD,EX2 9DU
,HEAVITREE ROAD,EX1 2JW
42,PARK ROAD,EX1 2HS
23,MADISON AVENUE,EX1 3AH
8,CHARNLEY AVENUE,EX4 1RE
29,BUCKERELL AVENUE,EX2 4RD
47,ELIZABETH AVENUE,EX4 7EQ
5,CHESTNUT AVENUE,EX2 6DH
16,RADFORD ROAD,EX2 4EU
12,JUBILEE ROAD,EX1 2HU
17,ILEX CLOSE,EX4 9JZ
6,LEICESTER MEAD,EX4 2PX
18,CHURCHILL ROAD,EX2 9BU
74,MINCINGLAKE ROAD,EX4 7DX
34,HORSEGUARDS,EX4 4UY
,COATES ROAD,EX2 5RP
14,PRINCESSHAY SQUARE,EX1 1LR
,JUBILEE ROAD,EX1 2HU
5,LAVENDER ROAD,EX4 2PS
7,VICTORIA ROAD,EX4 6JB
9,WATERSIDE,EX2 8GU
77,LADYSMITH ROAD,EX1 2PS
28,TOLLARDS ROAD,EX2 6JJ
9,MANDRAKE ROAD,EX2 8SQ
16,ADDISON CLOSE,EX4 1SJ
26,FORTESCUE ROAD,EX2 8JZ
3,SAXON ROAD,EX1 2TD
,OKEHAMPTON ROAD,EX4 1EP
134,MONKS ROAD,EX4 7BQ
22,OXFORD STREET,EX2 9AG
18,BARLEY FARM ROAD,EX4 1NN
35,LABURNUM ROAD,EX2 6EG
3,BLENHEIM ROAD,EX2 8SD
54,ROSEBANK CRESCENT,EX4 6EH
38,ROSEBERY ROAD,EX4 6LT
68,BOWHAY LANE,EX4 1PF
41,HORSEGUARDS,EX4 4UY
32,ST. JOHNS ROAD,EX1 2HR
,OLD MILL CLOSE,EX2 4DD
,GROSVENOR PLACE,EX1 2JP
72,EXWICK ROAD,EX4 2BJ
6,MARSH GREEN ROAD NORTH,EX2 8NY
21,BURNTHOUSE LANE,EX2 6EL
2,LEICESTER MEAD,EX4 2PX
104,CHAUCER GROVE,EX4 7BX
25,REDHILLS CLOSE,EX4 1SD
10,MAPLE ROAD,EX4 1BN
163,CHESTNUT AVENUE,EX2 6DP
20,BARRACK ROAD,EX2 5ED
4,ABBEY ROAD,EX4 7BG
119,GLOUCESTER ROAD,EX4 2EB
7,FOXHAYES ROAD,EX4 2BW
21,HERBERT ROAD,EX1 2UH
9,HAMPSHIRE CLOSE,EX4 1NA
74,LANCELOT ROAD,EX4 9BZ
9,SALISBURY ROAD,EX4 6LU
138,COWICK LANE,EX2 9HE
46,ANTHONY ROAD,EX1 2ST
34,PELLINORE ROAD,EX4 9BJ
204,PENNSYLVANIA ROAD,EX4 5DZ
,CHARNLEY AVENUE,EX4 1RE
39,SAXON ROAD,EX1 2TD
106,EXWICK ROAD,EX4 2BJ
35,ROLLESTONE CRESCENT,EX4 5EB
162,CHESTNUT AVENUE,EX2 6DP
20,PELLINORE ROAD,EX4 9BJ
15,BRUNSWICK STREET,EX4 1BT
9,SHAFTESBURY ROAD,EX2 9BR
47,PORTLAND STREET,EX1 2EG
38,KNIGHTLEY ROAD,EX2 4SR
116,RIVERMEAD ROAD,EX2 4RL
11,ASHWOOD ROAD,EX2 8JL
,COWICK STREET,EX4 1AS
61,GLOUCESTER ROAD,EX4 2EE
13,LITTLEWAY,EX2 9PB
9,SIMEY CLOSE,EX4 2HZ
,COWLEY BRIDGE ROAD,EX4 5FH
,WESTERN WAY,EX1 2ZT
,EXWICK ROAD,EX4 2BH
2,MANSTON ROAD,EX1 2QA
15,STOKE MEADOW CLOSE,EX4 5EG
4,MARLBOROUGH ROAD,EX2 4TJ
9,MARGARET ROAD,EX4 7DQ
10,NEWCOMBE STREET,EX1 2TG
,COWICK LANE,EX2 9HY
19,KING ARTHURS ROAD,EX4 9BE
75,PINWOOD MEADOW DRIVE,EX4 9LB
,POLSLOE ROAD,EX1 2HW
5,HERBERT ROAD,EX1 2UQ
6,MILDMAY CLOSE,EX4 2BD
5,BADON CLOSE,EX4 9EG
2,SALUTARY MOUNT,EX1 2QE
,COWICK STREET,EX4 1AB
1,PENNSYLVANIA PARK,EX4 6HB
38,HALDON ROAD,EX4 4DZ
81,WATERSIDE,EX2 8GZ
,COWLEY BRIDGE ROAD,EX4 5FJ
,MOUNT DINHAM COURT,EX4 4FL
,NEW NORTH ROAD,EX4 4GD
,COWLEY BRIDGE ROAD,EX4 5FH
6,MILLSTREAM,EX2 6GD
53,NORTHERNHAY STREET,EX4 3ER
43,ST. ANNES ROAD,EX1 2QD
19,CANBERRA CLOSE,EX4 5BA
,NEW NORTH ROAD,EX4 4GP
,NEW NORTH ROAD,EX4 4GG
,NEW NORTH ROAD,EX4 4GP
,NEW NORTH ROAD,EX4 4GG
172,FARM HILL,EX4 2NB
,CHARNLEY AVENUE,EX4 1RE
151,BRIAR CRESCENT,EX2 6DS
137,FORE STREET,EX1 3BR
7,ST. LOYES TERRACE,EX2 5DD
7,BRIDESPRING ROAD,EX4 7EU
52,ST. LEONARDS ROAD,EX2 4LS
11,ABBOTS ROAD,EX4 7AN
37,COWLEY BRIDGE ROAD,EX4 5AD
5,CHERRY GARDENS,EX2 5DJ
64,PARKWAY,EX2 9NF
64,KING EDWARD STREET,EX4 4NY
31,BERKSHIRE DRIVE,EX4 1NE
93,MERRIVALE ROAD,EX4 1PU
9,MILDMAY CLOSE,EX4 2BD
31,COURTENAY ROAD,EX2 8JT
37,ROSELAND AVENUE,EX1 2TN
23,PETERBOROUGH ROAD,EX4 2EG
5,SHAKESPEARE ROAD,EX2 6BP
,ALPHINGTON STREET,EX2 8AS
6,LANDHAYES ROAD,EX4 2BY
136,FARM HILL,EX4 2NB
11,LINCOLN ROAD,EX4 2DZ
,NEW BRIDGE STREET,EX4 3AH
2,ISAMBARD PARADE,EX4 4BX
65,LOOE ROAD,EX4 4BW
7,LITTLE JOHNS CROSS HILL,EX2 9PJ
11,CLARENCE ROAD,EX4 1BL
19,SOUTH AVENUE,EX1 2DZ
31,MOORLAND WAY,EX4 2ER
3,HERSCHELL ROAD,EX4 6LX
,GRENDON ROAD,EX1 2NQ
,CHIEFTAIN WAY,EX2 9FG
,NEW NORTH ROAD,EX4 4FZ
,ST. JAMES ROAD,EX4 6PY
14,SANFORD PLACE,EX2 9FD
,COFTON ROAD,EX2 8QW
,VERNEY STREET,EX1 2FE
,BURNTHOUSE LANE,EX2 6NF
,NEW NORTH ROAD,EX4 4FZ
1,BEACON AVENUE,EX4 7JD
3,HIGHER KINGS AVENUE,EX4 6JW
,DUNSFORD ROAD,EX4 1LQ
55,ST. ANNES ROAD,EX1 2QD
26,BLENHEIM ROAD,EX2 8SE
249,FARM HILL,EX4 2ND
2,LABURNUM ROAD,EX2 6EG
,QUEEN STREET,EX4 3SJ
8,GUINEVERE WAY,EX4 8LQ
29,LONGBROOK STREET,EX4 6AB
,ISLEWORTH ROAD,EX4 1RG
30,THOMPSON ROAD,EX1 2UB
24,CEDARS ROAD,EX2 4NA
17,MONTEREY GARDENS,EX4 5EN
22,MOORLAND WAY,EX4 2ER
28,BARLEY FARM ROAD,EX4 1NN
17,CODRINGTON STREET,EX1 2BU
19,COWICK ROAD,EX2 9BE
29,KING STEPHEN CLOSE,EX4 4LX
36,FORE STREET,EX1 2QL
,FORE STREET,EX1 2QQ
54,LABURNUM ROAD,EX2 6EF
33,LUCAS AVENUE,EX4 6LZ
,SHAKESPEARE ROAD,EX2 6BU
127,WARDREW ROAD,EX4 1EZ
2,HEAVITREE PARK,EX1 3BP
,CHURCH ROAD,EX2 8SW
3,SIVELL PLACE,EX2 5EX
,ARCHIBALD ROAD,EX1 1SA
62,WONFORD ROAD,EX2 4LQ
3,WALNUT ROAD,EX2 6HL
,FROG STREET,EX4 3DB
22,CASTLE MOUNT,EX4 4JW
38,NEW BRIDGE STREET,EX4 3AH
,KING STREET,EX1 1DR
129,TOPSHAM ROAD,EX2 4RE
2,MARKET STREET,EX1 1BP
12,CLIFTON ROAD,EX1 2BR
,BOVEMOORS LANE,EX2 5DS
81,POLSLOE ROAD,EX1 2NF
32,HORSEGUARDS,EX4 4UY
1,MAYFLOWER AVENUE,EX4 5DS
8,PREMIER PLACE,EX2 4LB
14,WHIPTON LANE,EX1 3DS
,NORTHERNHAY PLACE,EX4 3QH
,IDE LANE,EX2 8UR
19,TARBET AVENUE,EX1 2UE
210,MONKS ROAD,EX4 7BN
32,ALPHINGTON ROAD,EX2 8HN
4,PROSPECT GARDENS,EX4 6TA
16,RUGBY ROAD,EX4 1BH
35,MOUNT PLEASANT ROAD,EX4 7AQ
48,MANSTON ROAD,EX1 2QA
27,HURST AVENUE,EX2 5LG
15,VEITCH CLOSE,EX2 4AF
13,RONCHETTI WAY,EX2 6EQ
,NORTHERNHAY STREET,EX4 3ER
137,PINHOE ROAD,EX4 7HX
41,ROLLESTONE CRESCENT,EX4 5EB
211,FARM HILL,EX4 2ND
11,OLD TIVERTON ROAD,EX4 6ND
10,ROSEBARN LANE,EX4 5DX
,COWICK STREET,EX4 1FL
18,BOWHAY LANE,EX4 1PA
105,ST. KATHERINES ROAD,EX4 7JJ
100,BONHAY ROAD,EX4 4BL
156,PINHOE ROAD,EX4 7HJ
49,LANCELOT ROAD,EX4 9BZ
,NEW NORTH ROAD,EX4 4AD
57,HAWTHORN ROAD,EX2 6EB
32,RALEIGH ROAD,EX1 1TQ
21,SALISBURY ROAD,EX4 6LU
6,SCHOOL ROAD,EX2 9AD
12,GARLAND CLOSE,EX4 2NS
10,GLENTHORNE ROAD,EX4 4QU
4,PENNSYLVANIA ROAD,EX4 6DH
136,LANCELOT ROAD,EX4 9BX
68,COWICK LANE,EX2 9HD
8,QUEENS ROAD,EX2 9ER
22,BENNETT SQUARE,EX4 8AY
1,BROADWAY HILL,EX2 9NL
53,OLD TIVERTON ROAD,EX4 6NJ
5,FULFORD ROAD,EX1 2UA
,GANDY STREET,EX4 3LS
,MOUNT DINHAM COURT,EX4 4FW
,LOWER ARGYLL ROAD,EX4 4QY
,HAVEN ROAD,EX2 8AX
,MARKET STREET,EX1 1BW
20,SALISBURY ROAD,EX4 6LU
11,RYDON LANE,EX2 7AN
,ALPHINGTON STREET,EX2 8AS
,PENNSYLVANIA ROAD,EX4 5BQ
21,EAST GROVE ROAD,EX2 4LX
32,MOUNT PLEASANT ROAD,EX4 7AQ
177,PINHOE ROAD,EX4 7HZ
95,BROADWAY,EX2 9LZ
4,SAXON ROAD,EX1 2TD
5,COWICK ROAD,EX2 9BE
113,BARTHOLOMEW STREET WEST,EX4 3AL
8,RAVEN CLOSE,EX4 4SR
82,IOLANTHE DRIVE,EX4 9EA
60,NEWMAN ROAD,EX4 1PJ
12,STUART ROAD,EX1 2SZ
201,TOPSHAM ROAD,EX2 6AN
8,ELM GROVE ROAD,EX4 4LL
,LIME KILN LANE,EX2 6LW
51,BEACON AVENUE,EX4 7JE
5,CLIFTON ROAD,EX1 2BS
,CARLYON CLOSE,EX1 3AZ
163,FARM HILL,EX4 2NB
86,HOOPERN STREET,EX4 4LY
20,BONVILLE CLOSE,EX1 3JS
89,REGENT STREET,EX2 9EH
19,ROSELAND AVENUE,EX1 2TN
7,SYDNEY ROAD,EX2 9AJ
86,RIFFORD ROAD,EX2 5LA
5,MAPLE ROAD,EX4 1BN
189,CHESTNUT AVENUE,EX2 6DP
152,SWEETBRIER LANE,EX1 3DG
25,LEBANON CLOSE,EX4 5EW
27,SIMEY CLOSE,EX4 2HZ
19,FAIRHAZEL DRIVE,EX4 2DE
58,MINCINGLAKE ROAD,EX4 7DY
2,YEW TREE CLOSE,EX4 5EH
25,BOWRING CLOSE,EX1 3TU
48,BLACKBOY ROAD,EX4 6SZ
3,BRENTOR CLOSE,EX4 2ES
25,WELLPARK CLOSE,EX4 1TS
64,WONFORD ROAD,EX2 4LQ
,LOWER NORTH STREET,EX4 3ET
23,ROUND TABLE MEET,EX4 8LG
72,ATTWYLL AVENUE,EX2 5HW
,BELGRAVE ROAD,EX1 2NP
44,HIGH MEADOWS,EX4 1RL
9,BARLEY MOUNT,EX4 1RP
